year,trial_name,trial_type,plot_width,plot_length,plant_date,harvest_date,location,accession_name,plot_name,cross_year,rep_number,plot_number,check_test,notes,obs_DM_gravity,obs_yield_ha
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3676-1,201326BCEAR_pvar_rep1_GM3676-1_31,2007,1,31,test,TZMRK180001_1-1,NA,NA
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3693-2,201326BCEAR_pvar_rep1_GM3693-2_25,2007,1,25,test,TZMRK180001_1-1,18.92109208,5.972222222
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3695-9,201326BCEAR_pvar_rep1_GM3695-9_3,2007,1,3,test,TZMRK180001_1-1,16.94381762,2.083333333
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3697-7,201326BCEAR_pvar_rep1_GM3697-7_33,2007,1,33,test,TZMRK180001_1-1,18.76542316,6.805555556
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3698-1,201326BCEAR_pvar_rep1_GM3698-1_32,2007,1,32,test,TZMRK180001_1-1,NA,NA
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,SM3511-6,201326BCEAR_pvar_rep1_SM3511-6_1,2007,1,1,test,TZMRK180001_1-1,17.67150396,9.861111111
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,SM3536-44,201326BCEAR_pvar_rep1_SM3536-44_16,2007,1,16,test,TZMRK180001_1-1,19.05432463,5.555555556
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,AM922-10,201326BCEAR_pvar_rep2_AM922-10_37,2007,2,37,test,TZMRK180001_1-1,18.45709939,7.638888889
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3426-5,201326BCEAR_pvar_rep2_GM3426-5_56,2007,2,56,test,TZMRK180001_1-1,16.21,11.94444444
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3518-1,201326BCEAR_pvar_rep2_GM3518-1_62,2007,2,62,test,TZMRK180001_1-1,20.17224238,5.138888889
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3518-18,201326BCEAR_pvar_rep2_GM3518-18_68,2007,2,68,test,TZMRK180001_1-1,17.07797075,3.194444444
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3518-19,201326BCEAR_pvar_rep2_GM3518-19_42,2007,2,42,test,TZMRK180001_1-1,17.32562941,5.138888889
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3518-26,201326BCEAR_pvar_rep2_GM3518-26_36,2007,2,36,test,TZMRK180001_1-1,19.61976226,5.277777778
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3518-5,201326BCEAR_pvar_rep2_GM3518-5_60,2007,2,60,test,TZMRK180001_1-1,16.21,5.416666667
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3523-25,201326BCEAR_pvar_rep2_GM3523-25_40,2007,2,40,test,TZMRK180001_1-1,NA,NA
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3530-14,201326BCEAR_pvar_rep2_GM3530-14_55,2007,2,55,test,TZMRK180001_1-1,16.21,11.38888889
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3533-6,201326BCEAR_pvar_rep2_GM3533-6_57,2007,2,57,test,TZMRK180001_1-1,18.64096589,5.972222222
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3560-34,201326BCEAR_pvar_rep2_GM3560-34_48,2007,2,48,test,TZMRK180001_1-1,16.98896637,4.027777778
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3609-30,201326BCEAR_pvar_rep2_GM3609-30_65,2007,2,65,test,TZMRK180001_1-1,16.21,2.222222222
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3609-98,201326BCEAR_pvar_rep2_GM3609-98_50,2007,2,50,test,TZMRK180001_1-1,16.21,0.972222222
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3628-1,201326BCEAR_pvar_rep2_GM3628-1_44,2007,2,44,test,TZMRK180001_1-1,17.80858586,3.333333333
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3633-5,201326BCEAR_pvar_rep2_GM3633-5_64,2007,2,64,test,TZMRK180001_1-1,20.05242792,4.444444444
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3647-16,201326BCEAR_pvar_rep2_GM3647-16_53,2007,2,53,test,TZMRK180001_1-1,16.21,3.888888889
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3650-15,201326BCEAR_pvar_rep2_GM3650-15_39,2007,2,39,test,TZMRK180001_1-1,16.21,2.777777778
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3650-19,201326BCEAR_pvar_rep2_GM3650-19_59,2007,2,59,test,TZMRK180001_1-1,16.21,2.5
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3674-35,201326BCEAR_pvar_rep2_GM3674-35_54,2007,2,54,test,TZMRK180001_1-1,19.14074074,2.361111111
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3675-20,201326BCEAR_pvar_rep2_GM3675-20_43,2007,2,43,test,TZMRK180001_1-1,16.21,2.083333333
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3675-38,201326BCEAR_pvar_rep2_GM3675-38_51,2007,2,51,test,TZMRK180001_1-1,NA,NA
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3676-1,201326BCEAR_pvar_rep2_GM3676-1_52,2007,2,52,test,TZMRK180001_1-1,16.21,2.5
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3693-2,201326BCEAR_pvar_rep2_GM3693-2_38,2007,2,38,test,TZMRK180001_1-1,19.26184573,9.166666667
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3695-9,201326BCEAR_pvar_rep2_GM3695-9_66,2007,2,66,test,TZMRK180001_1-1,19.9119883,2.083333333
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3697-7,201326BCEAR_pvar_rep2_GM3697-7_61,2007,2,61,test,TZMRK180001_1-1,19.88042292,5.972222222
2013,201326BCEAR_pvar,EAR,NA,NA,2013-August-27,2014-June-19,Palmar de Varela,GM3698-1,201326BCEAR_pvar_rep2_GM3698-1_58,2007,2,58,test,TZMRK180001_1-1,NA,NA
