"accession_name","beta_carot_NIRS_ugg_PF"
"GM5165-4",11.41700555
"GM5165-46",15.1406593
"GM5165-8",16.6346588
"GM5172-3",14.3825054
"GM5176-2",13.7519436
"GM5177-3",11.1126203333333
"GM5185-21",13.8774672
"GM5190-1",15.8756809
"GM5194-13",11.2464683666667
"GM5194-5",10.8489082833333
"GM5200-21",10.59097195
"GM5201-13",16.778326
"GM5202-15",13.7157488
"GM5202-2",12.364315
"GM5202-4",11.975693225
"GM5204-11",13.6190395
"GM5204-5",15.2569351
"GM5205-11",13.0347261
"GM5205-8",10.768320075
"GM5207-1",13.2478895
"GM5210-10",12.3609343
"GM5211-13",13.7478371
"GM5211-3",9.458004725
"GM5211-9",15.9949236
"GM5212-6",13.75725485
"GM5216-19",12.6641226
"GM5224-5",10.685493725
"GM5246-14",10.9027853
"GM5246-16",13.144151
"GM5249-2",14.1310511
"GM5249-8",10.2627872
"GM5253-2",14.287919
"GM5257-5",11.302800425
"GM5259-1",13.2129545
"GM5260-3",13.8300047
"GM5260-4",14.425519
"GM5261-21",15.2522068
"GM5270-1",9.58848216428571
"GM5270-14",10.4054323571429
"GM5270-23",10.4291783583333
"GM5270-4",9.24079280714286
"GM5309-27",10.65775214
"GM5309-31",8.669664985
"GM5309-34",9.74240641
"GM5309-35",11.0067384666667
"GM5309-40",13.2106051583333
"GM5309-48",13.1747989076923
"GM5309-49",9.95332827142857
"GM5309-54",10.091197285
"GM5309-56",12.16859227
"GM5309-57",10.98033303125
"GM5309-7",10.425816225
"GM6128-5",9.334844075
"GM6131-4",7.6857814
"GM6141-1",7.1479027
"GM6146-14",10.437929875
"GM6147-48",10.9175769666667
"GM6148-6",10.76275635
"GM6168-1",11.51404335
"GM6172-3",8.7150981
"GM6172-6",9.697345725
"GM6200-1",11.8853383
"GM6206-37",9.32323861
"GM6206-47",9.74818396
"GM6255-14",10.303002825
"GM8326-1",12.3787992625
"GM8326-10",11.10166461
"GM8326-15",9.68646935
"GM8326-19",9.6608062
"GM8326-6",10.5413533666667
"GM8326-7",9.3649743625
"GM8339-21",11.37958757
"GM8342-6",9.88675432
"GM8351-1",11.3902896625
"GM8359-16",11.57865362
"GM8359-9",9.03208578333333
"GM8360-1",10.23833275
"GM8360-4",10.9814222833333
"GM8367-15",11.3552438166667
"GM8367-25",11.65117905
"GM8369-5",11.291413775
"GM8373-46",11.26059122
"GM8373-47",9.98195538333333
"GM8375-15",11.89580378
"GM8375-32",9.9616585
"GM8375-42",11.38859225
"GM8375-58",11.2099611416667
"GM8375-59",8.6257464
"GM8375-60",8.563516625
"GM8375-86",8.656247625
"GM8378-60",9.1139115
"GM8380-8",10.0309278833333
"GM8381-10",10.066255875
"GM8388-6",11.709449075
"GM8389-5",12.183336725
"GM8390-15",9.94228883
"GM8391-4",9.528985375
"GM8391-6",9.42799565
"GM8393-1",9.20700501666667
"GM8393-5",10.13646625
"GM8397-1",12.1780987
"GM8407-21",9.27975585
"GM8408-17",9.5842495
"GM8409-13",8.8421909
"GM8409-38",10.666130725
"GM8409-43",10.6606038333333
"GM8409-57",10.2201783166667
"GM8413-1",11.09481925
"GM8413-18",11.3062432
"GM8413-2",10.4346037166667
"GM8413-3",13.4077142375
"GM8413-9",11.39892121
"GM8437-30",11.5080619875
"GM8461-15",10.4431692375
"GM8503-99",8.8428861375
"GM8527-12",11.1561391375
"GM8536-2",12.1070326166667
"GM8540-4",10.3745826375
"GM8560-13",10.58513895
"GM8951-2",10.45971775
"GM8953-14",11.67425775
"GM8953-17",13.91994905
"GM8953-28",11.60637615
"GM8953-5",11.9864454
"GM8956-1",9.9628954
"GM8957-46",9.11652945
"GM8958-10",8.90499065
"GM8958-19",13.6420574
"GM8958-26",12.2153225
"GM8959-12",11.23023465
"GM8959-15",11.937654
"GM8959-21",12.10920955
"GM8959-35",9.98084495
"GM8959-36",8.8137975
"GM8959-40",11.5737071
"GM8959-42",16.8297014
"GM8959-56",11.0692501
"GM8959-58",10.5918274
"GM8959-6",9.9876494
"GM8959-64",9.61104585
"GM8959-65",10.9419017
"GM8959-68",9.15945195
"GM8959-73",12.53521775
"GM8961-6",10.07927515
"GM8962-5",10.43818095
"GM8964-32",11.00515505
"GM8967-12",9.0109544
"GM8967-42",14.3432984
"GM8967-47",10.1987014
"GM8967-54",12.8825893
"GM8969-2",9.4630027
"GM8970-10",10.1046033
"GM8978-15",10.7506218
"GM8985-34",9.3392444
"GM8985-41",11.74055865
"GM8998-3",9.47999045
"GM9009-6",9.66444445
"GM9016-3",11.4363985
"GM9019-7",10.8285675
"GM9029-29",9.34255025
"GM9031-8",12.3161955
"GM9032-9",11.55203295
"GM9033-32",10.54667235
"GM9033-50",11.2884493
"GM9033-89",12.8182883
"GM9036-4",12.557951
"GM9046-20",10.12836075
"GM9046-41",8.9261718
"GM9046-45",10.0102148
"GM9046-47",10.77644875
"GM9054-51",10.95900295
"GM9191-15",10.3786826
"GM9241-58",10.5887017
"GM9261-6",9.67007445
"GM9293-14",12.915609375
"GM9294-2",10.01157785
"GM9295-1",8.2548051
"GM9296-1",6.9427756
"GM9297-1",14.3751649833333
"GM9297-6",10.5416074
"GM9297-9",8.255936975
"GM9299-40",10.37200925
"GM9300-2",11.730433
"GM9302-14",10.631881475
"GM9302-3",5.681959625
"GM9302-38",9.7634125
"GM9302-4",13.573684
"GM9302-54",11.26932575
"GM9302-55",12.2016433166667
"GM9302-73",8.59208965
"GM9308-1",9.203038925
"GM9308-7",11.382943425
"GM9315-1",8.05192305
"GM9342-20",NA
"GM9342-29",10.681327575
"GM9342-46",9.09100475
"GM9352-12",12.45172785
"GM9353-62",9.418830875
"GM9353-72",10.85164595
"GM9353-95",12.02072955
"GM9353-98",10.8819108
"GM9359-20",11.1442499
"GM9369-74",12.02263165
"GM9369-98",10.491706375
"GM9370-1",10.39608145
"GM9396-2",10.6235833
"GM9398-1",9.75871895
"GM9400-1",8.0923498
"GM9406-3",7.68097055
"GM9411-1",9.5679889
"GM9418-8",7.68652965
"GM9458-1",8.29005
"GM9458-18",13.228547325
