"accession_name","year"
"SM5313-5",2016
"SM5317-10",2016
"SM5317-12",2016
"SM5317-2",2016
"SM5317-4",2016
"SM5317-5",2016
"SM5319-1",2016
"SM5319-10",2016
"SM5319-3",2016
"SM5319-6",2016
"SM5319-7",2016
"SM5321-11",2016
"SM5322-1",2016
"SM5322-10",2016
"SM5322-12",2016
"SM5322-13",2016
"SM5322-17",2016
"SM5322-19",2016
"SM5322-2",2016
"SM5322-23",2016
"SM5322-3",2016
"SM5322-4",2016
"SM5322-7",2016
"SM5322-8",2016
"SM5324-6",2016
"SM5324-7",2016
"SM5327-11",2016
"SM5327-16",2016
"SM5327-17",2016
"SM5327-6",2016
"SM5327-9",2016
"SM5334-1",2016
"SM5334-6",2016
"SM5334-7",2016
"SM5334-8",2016
"SM5334-9",2016
"SM5335-13",2016
"SM5335-14",2016
"SM5335-5",2016
"SM5335-7",2016
"SM5337-2",2016
"SM5337-20",2016
"SM5337-24",2016
"SM5337-3",2016
"SM5337-4",2016
"SM5337-5",2016
"SM5337-6",2016
"SM5339-10",2016
"SM5339-19",2016
"SM5341-15",2016
"SM5341-2",2016
"SM5341-8",2016
"SM5341-9",2016
"SM5343-1",2016
"SM5343-5",2016
"SM5349-12",2016
"SM5349-23",2016
"SM5349-28",2016
"SM5349-31",2016
"SM5349-32",2016
"SM5349-4",2016
"SM5349-5",2016
"SM5352-14",2016
"SM5352-16",2016
"SM5352-19",2016
"SM5352-2",2016
"SM5352-28",2016
"SM5352-6",2016
"SM5352-7",2016
"SM5353-8",2016
"SM5358-10",2016
"SM5358-7",2016
"SM5358-9",2016
"SM5365-2",2016
"SM5366-13",2016
"SM5366-16",2016
"SM5366-20",2016
"SM5368-3",2016
"SM5368-6",2016
"SM5374-10",2016
"SM5374-15",2016
"SM5374-17",2016
"SM5374-20",2016
"SM5374-21",2016
"SM5374-24",2016
"SM5374-26",2016
"SM5374-30",2016
"SM5374-32",2016
"SM5374-34",2016
"SM5374-37",2016
"SM5374-6",2016
"SM5374-7",2016
"SM5378-13",2016
"SM5378-18",2016
"SM5378-8",2016
"SM5380-11",2016
"SM5380-14",2016
"SM5380-6",2016
"SM5381-14",2016
"SM5381-2",2016
"SM5381-6",2016
"SM5387-14",2016
"SM5387-29",2016
"SM5387-3",2016
"SM5387-31",2016
"SM5387-5",2016
"SM5392-11",2016
"SM5392-14",2016
"SM5392-18",2016
"SM5392-3",2016
"SM5409-15",2016
"SM5409-2",2016
"SM5409-23",2016
"SM5409-4",2016
"SM5412-10",2016
"SM5412-16",2016
"SM5412-17",2016
"SM5412-19",2016
"SM5412-20",2016
"SM5412-23",2016
"SM5421-20",2016
"SM5421-21",2016
"SM5421-26",2016
"SM5421-27",2016
"SM5421-3",2016
"SM5421-4",2016
"SM5430-3",2016
"SM5441-10",2016
"SM5441-4",2016
"SM5454-1",2016
"SM5454-18",2016
"SM5454-3",2016
"SM5454-5",2016
"SM5454-8",2016
"SM5456-1",2016
"SM5456-12",2016
"SM5456-13",2016
"SM5456-14",2016
"SM5456-16",2016
"SM5456-17",2016
"SM5456-18",2016
"SM5456-19",2016
"SM5456-2",2016
"SM5456-20",2016
"SM5456-21",2016
"SM5456-24",2016
"SM5456-25",2016
"SM5456-26",2016
"SM5456-3",2016
"SM5456-4",2016
"SM5456-5",2016
"SM5456-6",2016
"SM5456-7",2016
"SM5460-1",2016
"SM5463-4",2016
"SM5465-1",2016
"SM5471-7",2016
"SM5472-1",2016
"SM5472-10",2016
"SM5472-12",2016
"SM5472-13",2016
"SM5472-15",2016
"SM5472-18",2016
"SM5472-7",2016
"SM5473-10",2016
"SM5473-12",2016
"SM5473-18",2016
"SM5473-31",2016
"SM5473-32",2016
"SM5473-33",2016
"SM5473-34",2016
"SM5473-8",2016
"SM5473-9",2016
"SM5475-2",2016
"SM5477-1",2016
"SM4355-12",2014
"SM4352-14",2014
"SM4354-18",2014
"SM4354-23",2014
"SM4357-2",2014
"SM4368-30",2014
"SM4371-25",2014
"SM4376-3",2014
"SM4328-12",2013
"SM4330-1",2014
"GM8969-2",2012
"GM8970-10",2012
"GM8957-46",2012
"GM8958-10",2012
"GM8958-19",2012
"GM8958-26",2012
"GM8959-6",2012
"GM8959-12",2012
"GM8959-15",2012
"GM8959-21",2012
"GM8959-35",2012
"GM8959-36",2012
"GM8959-40",2012
"GM8959-42",2012
"GM8959-56",2012
"GM8959-58",2012
"GM8959-64",2012
"GM8959-65",2012
"GM8959-68",2012
"GM8959-73",2012
"GM8961-6",2012
"GM8962-5",2012
"GM8964-32",2012
"GM8967-12",2012
"GM8967-42",2012
"GM8967-47",2012
"GM8967-54",2012
"AM1261-13",2009
"AM1253-13",2009
"AM1216-3",2008
"AM1228-2",2008
"AM1428-30",2013
"AM1432-2",2013
"AM1432-7",2013
"AM1352-3",2011
"AM907-57",2008
"AM922-10",2007
"AM900-14",2008
"AM907-110",2011
"AM1451-4",2013
"GM9033-89",2012
"GM9046-20",2012
"GM9046-41",2012
"GM9046-45",2012
"GM9046-47",2012
"GM9026-2",2012
"GM9029-29",2012
"GM9054-51",2012
"GM8998-3",2012
"GM9031-8",2012
"GM8978-15",2012
"GM9009-6",2012
"GM9032-9",2012
"GM9036-4",2012
"GM9013-2",2012
"GM9016-3",2012
"GM9033-32",2012
"GM8985-34",2012
"GM8985-41",2012
"GM9019-7",2012
"GM9033-50",2012
"GM8461-15",2011
"GM8437-30",2011
"GM8951-2",2012
"GM8956-1",2012
"GM8953-5",2012
"GM8953-14",2012
"GM8953-17",2012
"GM8953-28",2012
"GM9500-2",2013
"GM9506-19",2013
"GM9396-2",2013
"GM9398-1",2013
"GM9400-1",2013
"GM9369-74",2013
"GM9406-3",2013
"GM9369-98",2013
"GM9370-1",2013
"GM9411-1",2013
"GM9458-1",2013
"GM9458-6",2013
"GM9458-18",2013
"GM9497-7",2013
"GM9418-8",2013
"GM9463-2",2013
"GM9464-1",2013
"GM9497-14",2013
"GM9927-3",2014
"GM9927-7",2014
"GM9927-15",2014
"GM9927-20",2014
"GM9927-22",2014
"GM9951-1",2014
"GM9951-6",2014
"GM9955-1",2014
"GM9955-2",2014
"GM9955-8",2014
"GM9958-1",2014
"GM9960-7",2014
"GM9970-1",2014
"GM9975-1",2014
"GM9976-2",2014
"GM9976-3",2014
"GM9979-1",2014
"GM9984-6",2014
"GM9985-2",2014
"GM9994-1",2014
"GM9997-1",2014
"GM10004-2",2014
"GM10009-3",2014
"GM10010-1",2014
"GM10010-3",2014
"GM10010-8",2014
"GM10015-2",2014
"GM10019-1",2014
"GM10026-1",2014
"GM10026-3",2014
"GM10026-4",2014
"GM10034-3",2014
"GM10035-1",2014
"GM9919-5",2014
"GM9919-6",2014
