"accession_name","cross_year"
"SM3623-7",2008
"SM3677-13",2009
"SM3686-42",2009
"SM3686-48",2009
"SM3686-56",2009
"SM3692-23",2009
"SM3692-32",2009
"SM3692-43",2009
"SM3761-28",2010
"SM3761-29",2010
"SM3767-7",2010
"SM3767-10",2010
"SM3767-19",2010
"SM3883-96",2011
"SM3889-87",2011
"SM3890-9",2011
"SM3623-30",2008
"SM3623-31",2008
"SM3677-47",2009
"SM3692-51",2009
"SM3692-55",2009
"SM3692-60",2009
"SM3756-7",2010
"SM3761-58",2010
"SM3761-61",2010
"SM3761-67",2010
"SM3761-68",2010
"SM3878-42",2011
"SM3677-50",2009
"SM3677-72",2009
"SM3692-76",2009
"SM3767-66",2010
"SM3767-76",2010
"SM3773-51",2010
"SM3887-29",2011
"SM3677-74",2009
"SM3679-5",2009
"SM3679-8",2009
"SM3679-13",2009
"SM3761-103",2010
"SM3761-110",2010
"SM3761-117",2010
"SM3761-125",2010
"SM3767-84",2010
"SM3774-21",2010
"SM3878-111",2011
"SM3887-42",2011
"SM3887-52",2011
"SM3887-59",2011
"SM3679-21",2009
"SM3680-4",2009
"SM3761-133",2010
"SM3774-55",2010
"SM3887-74",2011
"SM3888-4",2011
"SM3607-37",2008
"SM3680-15",2009
"SM3694-19",2009
"SM3762-6",2010
"SM3762-15",2010
"SM3762-22",2010
"SM3774-67",2010
"SM3879-29",2011
"SM3881-146",2011
"SM3694-44",2009
"SM3757-45",2010
"SM3881-156",2011
"SM3882-9",2011
"SM3882-18",2011
"SM3607-84",2008
"SM3682-4",2009
"SM3682-6",2009
"SM3682-8",2009
"SM3682-12",2009
"SM3694-54",2009
"SM3757-75",2010
"SM3879-75",2011
"SM3879-93",2011
"SM3882-19",2011
"SM3882-30",2011
"SM3885-12",2011
"SM3757-81",2010
"SM3879-104",2011
"SM3882-48",2011
"SM3882-59",2011
"SM3885-50",2011
"SM4507-9",2014
"SM4576-50",2014
"SM4576-58",2014
"SM4404-4",2014
"SM4404-5",2014
"SM4509-1",2014
"SM4576-66",2014
"SM4421-22",2014
"SM4421-37",2014
"SM4511-1",2014
"SM4515-5",2014
"SM4577-6",2014
"SM4392-3",2014
"SM4423-1",2014
"SM4565-1",2014
"SM4393-18",2014
"SM4393-20",2014
"SM4487-7",2014
"SM4566-11",2014
"SM4566-13",2014
"SM4567-4",2014
"SM4568-5",2014
"SM4408-2",2014
"SM4471-6",2014
"SM4569-1",2014
"SM4569-2",2014
"SM4569-16",2014
"SM4569-17",2014
"SM4450-1",2014
"SM4471-21",2014
"SM4471-25",2014
"SM4471-38",2014
"SM4571-7",2014
"SM4471-44",2014
"SM4489-25",2014
"SM4573-1",2014
"SM4573-2",2014
"SM4573-7",2014
"SM4409-9",2014
"SM4409-11",2014
"SM4471-64",2014
"SM4472-3",2014
"SM4573-18",2014
"SM4573-21",2014
"SM4573-25",2014
"SM4573-27",2014
"SM4573-30",2014
"SM4410-1",2014
"SM4472-21",2014
"SM4479-41",2014
"SM4491-2",2014
"SM4573-37",2014
"SM4573-38",2014
"SM4573-41",2014
"SM4573-44",2014
"SM4574-4",2014
"SM4410-35",2014
"SM4410-40",2014
"SM4410-43",2014
"SM4480-33",2014
"SM4574-6",2014
"SM4574-15",2014
"SM4574-30",2014
"SM4574-37",2014
"SM4574-40",2014
"SM4574-43",2014
"SM4574-45",2014
"SM4574-46",2014
"SM4574-51",2014
"SM4433-12",2014
"SM4574-56",2014
"SM4574-58",2014
"SM4575-10",2014
"SM4388-2",2014
"SM4501-5",2014
"SM4501-9",2014
"SM4575-23",2014
"SM4402-6",2014
"SM4402-7",2014
"SM4416-3",2014
"SM4436-1",2014
"SM4483-1",2014
"SM4483-2",2014
"SM4483-3",2014
"SM4483-4",2014
"SM4483-6",2014
"SM4483-7",2014
"SM4483-9",2014
"SM4483-10",2014
"SM4483-15",2014
"SM4575-59",2014
"SM4576-1",2014
"SM4576-6",2014
"SM4463-2",2014
"SM4484-10",2014
"SM4503-13",2014
"SM4576-16",2014
"SM4576-22",2014
"SM4576-25",2014
"SM4484-18",2014
"SM4289-129",2013
"SM4289-133",2013
"SM4289-140",2013
"SM4289-156",2013
"SM4287-179",2013
"SM4289-179",2013
"SM4320-56",2013
"SM4286-218",2013
"SM4289-418",2013
"SM4289-438",2013
"SM4291-1",2013
"SM4291-30",2013
"SM4317-52",2013
"SM4291-85",2013
"SM4319-12",2013
"SM4299-6",2013
"SM4319-18",2013
"SM4290-5",2013
"SM4290-27",2013
"SM4285-32",2013
"SM4286-7",2013
"SM4286-10",2013
"SM4287-2",2013
"SM4290-58",2013
"SM4290-72",2013
"SM4289-21",2013
"SM4289-41",2013
"SM4290-100",2013
"SM4292-11",2013
"SM4289-111",2013
"SM4289-113",2013
"GM9297-6",2013
"GM9297-9",2013
"GM9342-46",2013
"GM9241-58",2012
"GM9299-40",2013
"GM9300-2",2013
"GM9302-3",2013
"GM9191-15",2012
"GM9302-4",2013
"GM9302-14",2013
"GM9352-12",2013
"GM9302-38",2013
"GM9302-54",2013
"GM9302-55",2013
"GM9261-6",2012
"GM9302-73",2013
"GM9353-62",2013
"GM9353-72",2013
"GM9353-95",2013
"GM9308-1",2013
"GM9353-98",2013
"GM9308-7",2013
"GM9359-20",2013
"GM9315-1",2013
"GM9342-20",2013
"GM9293-14",2013
"GM9294-2",2013
"GM9295-1",2013
"GM9296-1",2013
"GM9297-1",2013
"GM9342-29",2013
"SM3536-44",2007
"SM3511-6",2007
"GM8503-99",2011
