"Experiment","rep_number","accession_name","yield_ha","year","location"
"201326BCEAR_pvar",3,"GM3533-6",6.25,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"GM3560-34",3.888888889,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"GM3609-30",4.444444444,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"GM3609-98",1.666666667,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"GM3628-1",5.555555556,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"GM3633-5",5,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"GM3647-16",4.583333333,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"GM3650-15",3.75,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"GM3650-19",4.861111111,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"GM3674-35",2.222222222,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"GM3675-20",3.75,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"GM3675-38",1.666666667,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"GM3676-1",2.777777778,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"GM3693-2",6.527777778,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"GM3695-9",2.777777778,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"GM3697-7",5.833333333,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"GM3698-1",2.777777778,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"SM3441-150",1.666666667,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"SM3442-217",3.75,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"SM3511-6",5.138888889,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"SM3536-44",7.777777778,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"SMB2446-2",4.305555556,"2013","Palmar de Varela"
"201326BCEAR_pvar",3,"TAI8",18.75,"2013","Palmar de Varela"
"201467BCEPR_mala",1,"CG1141-1",8.75,"2014","Malambo"
"201467BCEPR_mala",1,"GM3523-70",7.125,"2014","Malambo"
"201467BCEPR_mala",1,"GM3523-72",9.25,"2014","Malambo"
