"Experiment","rep_number","accession_name","yield_ha","year","plot_name","location"
"201326BCEAR_pvar","2","GM3518-5",5.416666667,"2013","201326BCEAR_pvar_rep2_GM3518-5_60","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","GM3530-14",11.38888889,"2013","201326BCEAR_pvar_rep2_GM3530-14_55","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","GM3533-6",5.972222222,"2013","201326BCEAR_pvar_rep2_GM3533-6_57","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","GM3560-34",4.027777778,"2013","201326BCEAR_pvar_rep2_GM3560-34_48","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","GM3609-30",2.222222222,"2013","201326BCEAR_pvar_rep2_GM3609-30_65","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","GM3609-98",0.972222222,"2013","201326BCEAR_pvar_rep2_GM3609-98_50","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","GM3628-1",3.333333333,"2013","201326BCEAR_pvar_rep2_GM3628-1_44","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","GM3633-5",4.444444444,"2013","201326BCEAR_pvar_rep2_GM3633-5_64","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","GM3647-16",3.888888889,"2013","201326BCEAR_pvar_rep2_GM3647-16_53","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","GM3650-15",2.777777778,"2013","201326BCEAR_pvar_rep2_GM3650-15_39","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","GM3650-19",2.5,"2013","201326BCEAR_pvar_rep2_GM3650-19_59","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","GM3674-35",2.361111111,"2013","201326BCEAR_pvar_rep2_GM3674-35_54","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","GM3675-20",2.083333333,"2013","201326BCEAR_pvar_rep2_GM3675-20_43","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","GM3676-1",2.5,"2013","201326BCEAR_pvar_rep2_GM3676-1_52","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","GM3693-2",9.166666667,"2013","201326BCEAR_pvar_rep2_GM3693-2_38","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","GM3695-9",2.083333333,"2013","201326BCEAR_pvar_rep2_GM3695-9_66","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","GM3697-7",5.972222222,"2013","201326BCEAR_pvar_rep2_GM3697-7_61","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","SM3441-150",1.805555556,"2013","201326BCEAR_pvar_rep2_SM3441-150_45","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","SM3442-217",2.222222222,"2013","201326BCEAR_pvar_rep2_SM3442-217_41","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","SM3511-6",6.666666667,"2013","201326BCEAR_pvar_rep2_SM3511-6_67","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","SM3536-44",7.083333333,"2013","201326BCEAR_pvar_rep2_SM3536-44_47","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","SMB2446-2",6.944444444,"2013","201326BCEAR_pvar_rep2_SMB2446-2_35","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","2","TAI8",10.27777778,"2013","201326BCEAR_pvar_rep2_TAI8_49","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","AM922-10",8.055555556,"2013","201326BCEAR_pvar_rep3_AM922-10_92","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","CG1141-1",11.38888889,"2013","201326BCEAR_pvar_rep3_CG1141-1_73","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","CM4919-1",9.444444444,"2013","201326BCEAR_pvar_rep3_CM4919-1_78","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3426-5",7.777777778,"2013","201326BCEAR_pvar_rep3_GM3426-5_70","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3518-1",6.111111111,"2013","201326BCEAR_pvar_rep3_GM3518-1_84","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3518-18",4.861111111,"2013","201326BCEAR_pvar_rep3_GM3518-18_91","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3518-19",3.888888889,"2013","201326BCEAR_pvar_rep3_GM3518-19_82","Palmar de Varela. Atlantico, Colombia"
"201326BCEAR_pvar","3","GM3518-26",7.916666667,"2013","201326BCEAR_pvar_rep3_GM3518-26_99","Palmar de Varela. Atlantico, Colombia"
