"Experiment","rep_number","accession_name","DM_gravity","year","plot_name","location"
"201326BCEAR_pvar","2","GM3633-5",20.05242792,"2013","201326BCEAR_pvar_rep2_GM3633-5_64","Palmar de Varela"
"201326BCEAR_pvar","2","GM3647-16",16.21,"2013","201326BCEAR_pvar_rep2_GM3647-16_53","Palmar de Varela"
"201326BCEAR_pvar","2","GM3650-15",16.21,"2013","201326BCEAR_pvar_rep2_GM3650-15_39","Palmar de Varela"
"201326BCEAR_pvar","2","GM3650-19",16.21,"2013","201326BCEAR_pvar_rep2_GM3650-19_59","Palmar de Varela"
"201326BCEAR_pvar","2","GM3674-35",19.14074074,"2013","201326BCEAR_pvar_rep2_GM3674-35_54","Palmar de Varela"
"201326BCEAR_pvar","2","GM3675-20",16.21,"2013","201326BCEAR_pvar_rep2_GM3675-20_43","Palmar de Varela"
"201326BCEAR_pvar","2","GM3676-1",16.21,"2013","201326BCEAR_pvar_rep2_GM3676-1_52","Palmar de Varela"
"201326BCEAR_pvar","2","GM3693-2",19.26184573,"2013","201326BCEAR_pvar_rep2_GM3693-2_38","Palmar de Varela"
"201326BCEAR_pvar","2","GM3695-9",19.9119883,"2013","201326BCEAR_pvar_rep2_GM3695-9_66","Palmar de Varela"
"201326BCEAR_pvar","2","GM3697-7",19.88042292,"2013","201326BCEAR_pvar_rep2_GM3697-7_61","Palmar de Varela"
"201326BCEAR_pvar","2","SM3441-150",17.21588983,"2013","201326BCEAR_pvar_rep2_SM3441-150_45","Palmar de Varela"
"201326BCEAR_pvar","2","SM3442-217",17.69600939,"2013","201326BCEAR_pvar_rep2_SM3442-217_41","Palmar de Varela"
"201326BCEAR_pvar","2","SM3511-6",17.22938808,"2013","201326BCEAR_pvar_rep2_SM3511-6_67","Palmar de Varela"
"201326BCEAR_pvar","2","SM3536-44",18.75866564,"2013","201326BCEAR_pvar_rep2_SM3536-44_47","Palmar de Varela"
"201326BCEAR_pvar","2","SMB2446-2",31.14835841,"2013","201326BCEAR_pvar_rep2_SMB2446-2_35","Palmar de Varela"
"201326BCEAR_pvar","2","TAI8",25.6070756,"2013","201326BCEAR_pvar_rep2_TAI8_49","Palmar de Varela"
"201326BCEAR_pvar","3","AM922-10",17.4774786,"2013","201326BCEAR_pvar_rep3_AM922-10_92","Palmar de Varela"
"201326BCEAR_pvar","3","CG1141-1",29.38329532,"2013","201326BCEAR_pvar_rep3_CG1141-1_73","Palmar de Varela"
"201326BCEAR_pvar","3","CM4919-1",26.76066667,"2013","201326BCEAR_pvar_rep3_CM4919-1_78","Palmar de Varela"
"201326BCEAR_pvar","3","GM3426-5",21.17780269,"2013","201326BCEAR_pvar_rep3_GM3426-5_70","Palmar de Varela"
"201326BCEAR_pvar","3","GM3518-1",22.90675171,"2013","201326BCEAR_pvar_rep3_GM3518-1_84","Palmar de Varela"
"201326BCEAR_pvar","3","GM3518-18",17.34629039,"2013","201326BCEAR_pvar_rep3_GM3518-18_91","Palmar de Varela"
"201326BCEAR_pvar","3","GM3518-19",19.00156038,"2013","201326BCEAR_pvar_rep3_GM3518-19_82","Palmar de Varela"
"201326BCEAR_pvar","3","GM3518-26",18.89237288,"2013","201326BCEAR_pvar_rep3_GM3518-26_99","Palmar de Varela"
"201326BCEAR_pvar","3","GM3518-5",18.05361741,"2013","201326BCEAR_pvar_rep3_GM3518-5_94","Palmar de Varela"
"201326BCEAR_pvar","3","GM3523-25",16.38604004,"2013","201326BCEAR_pvar_rep3_GM3523-25_89","Palmar de Varela"
"201326BCEAR_pvar","3","GM3530-14",16.21,"2013","201326BCEAR_pvar_rep3_GM3530-14_79","Palmar de Varela"
"201326BCEAR_pvar","3","GM3533-6",16.68740573,"2013","201326BCEAR_pvar_rep3_GM3533-6_88","Palmar de Varela"
"201326BCEAR_pvar","3","GM3560-34",16.68620863,"2013","201326BCEAR_pvar_rep3_GM3560-34_83","Palmar de Varela"
"201326BCEAR_pvar","3","GM3609-30",18.42342657,"2013","201326BCEAR_pvar_rep3_GM3609-30_93","Palmar de Varela"
"201326BCEAR_pvar","3","GM3609-98",16.21,"2013","201326BCEAR_pvar_rep3_GM3609-98_81","Palmar de Varela"
"201326BCEAR_pvar","3","GM3628-1",21.58850593,"2013","201326BCEAR_pvar_rep3_GM3628-1_85","Palmar de Varela"
"201326BCEAR_pvar","3","GM3633-5",20.06727305,"2013","201326BCEAR_pvar_rep3_GM3633-5_86","Palmar de Varela"
"201326BCEAR_pvar","3","GM3647-16",17.78814881,"2013","201326BCEAR_pvar_rep3_GM3647-16_98","Palmar de Varela"
"201326BCEAR_pvar","3","GM3650-15",16.80107376,"2013","201326BCEAR_pvar_rep3_GM3650-15_100","Palmar de Varela"
"201326BCEAR_pvar","3","GM3650-19",16.21,"2013","201326BCEAR_pvar_rep3_GM3650-19_102","Palmar de Varela"
"201326BCEAR_pvar","3","GM3674-35",16.21,"2013","201326BCEAR_pvar_rep3_GM3674-35_97","Palmar de Varela"
"201326BCEAR_pvar","3","GM3675-20",16.21,"2013","201326BCEAR_pvar_rep3_GM3675-20_71","Palmar de Varela"
"201326BCEAR_pvar","3","GM3675-38",16.21,"2013","201326BCEAR_pvar_rep3_GM3675-38_96","Palmar de Varela"
"201326BCEAR_pvar","3","GM3676-1",17.88314677,"2013","201326BCEAR_pvar_rep3_GM3676-1_87","Palmar de Varela"
"201326BCEAR_pvar","3","GM3693-2",16.55061878,"2013","201326BCEAR_pvar_rep3_GM3693-2_74","Palmar de Varela"
"201326BCEAR_pvar","3","GM3695-9",16.21,"2013","201326BCEAR_pvar_rep3_GM3695-9_69","Palmar de Varela"
"201326BCEAR_pvar","3","GM3697-7",18.76478812,"2013","201326BCEAR_pvar_rep3_GM3697-7_76","Palmar de Varela"
"201326BCEAR_pvar","3","GM3698-1",20.21247437,"2013","201326BCEAR_pvar_rep3_GM3698-1_80","Palmar de Varela"
"201326BCEAR_pvar","3","SM3441-150",17.29823183,"2013","201326BCEAR_pvar_rep3_SM3441-150_77","Palmar de Varela"
"201326BCEAR_pvar","3","SM3442-217",16.56247216,"2013","201326BCEAR_pvar_rep3_SM3442-217_95","Palmar de Varela"
"201326BCEAR_pvar","3","SM3511-6",17.63488047,"2013","201326BCEAR_pvar_rep3_SM3511-6_101","Palmar de Varela"
"201326BCEAR_pvar","3","SM3536-44",17.19298137,"2013","201326BCEAR_pvar_rep3_SM3536-44_75","Palmar de Varela"
"201326BCEAR_pvar","3","SMB2446-2",31.31404562,"2013","201326BCEAR_pvar_rep3_SMB2446-2_72","Palmar de Varela"
"201326BCEAR_pvar","3","TAI8",28.0488822,"2013","201326BCEAR_pvar_rep3_TAI8_90","Palmar de Varela"
"201467BCEPR_mala","1","CG1141-1",29.97173913,"2014","201467BCEPR_mala_rep1_CG1141-1_53","Malambo"
"201467BCEPR_mala","1","GM3523-70",20.37659527,"2014","201467BCEPR_mala_rep1_GM3523-70_16","Malambo"
"201467BCEPR_mala","1","GM3523-72",24.69209803,"2014","201467BCEPR_mala_rep1_GM3523-72_13","Malambo"
"201467BCEPR_mala","1","GM3551-46",21.78022774,"2014","201467BCEPR_mala_rep1_GM3551-46_24","Malambo"
"201467BCEPR_mala","1","GM3563-18",17.05857909,"2014","201467BCEPR_mala_rep1_GM3563-18_45","Malambo"
"201467BCEPR_mala","1","GM3587-41",22.72433414,"2014","201467BCEPR_mala_rep1_GM3587-41_12","Malambo"
"201467BCEPR_mala","1","GM3587-51",20.04124767,"2014","201467BCEPR_mala_rep1_GM3587-51_3","Malambo"
"201467BCEPR_mala","1","GM3609-108",18.59675174,"2014","201467BCEPR_mala_rep1_GM3609-108_34","Malambo"
"201467BCEPR_mala","1","GM3609-122",16.21,"2014","201467BCEPR_mala_rep1_GM3609-122_29","Malambo"
"201467BCEPR_mala","1","GM3621-18",19.43979592,"2014","201467BCEPR_mala_rep1_GM3621-18_21","Malambo"
"201467BCEPR_mala","1","GM3647-23",16.57256586,"2014","201467BCEPR_mala_rep1_GM3647-23_42","Malambo"
"201467BCEPR_mala","1","GM3649-109",22.93984911,"2014","201467BCEPR_mala_rep1_GM3649-109_22","Malambo"
